what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322845579675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322845579814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322845580136
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322845584400
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322845584551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322845585422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322845587258
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322845588441
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1322845588442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845589865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845593256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845597961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845604460
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1322845605349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845605593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845612944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845628127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845760482
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322845760582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845770786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322845828796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322845832338
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322845832665
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322845838437
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322845838671
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322845840933
