what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1322855959059
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1322855959059
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1322855959059
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1322855959059
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1322855959059
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1322855959059
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1322855959059
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1322855959059
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1322855959075
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1322855959075
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1322855959075
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1322855959075
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1322855959075
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1322855959075
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1322855959075
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1322855959075
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1322855959075
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1322855959075
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1322855959075
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1322855959075
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1322855959106
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1322855959122
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1322855959122
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1322855959122
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1322855959122
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1322855959122
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1322855959137
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1322855959137
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322855959137
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1322855959137
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1322855959137
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1322855959137
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1322855959137
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1322855959137
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322855959153
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1322855959153
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1322855959168
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322855959168
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1322855959168
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1322855959168
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322855959168
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322855959200
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1322855959200
started,bundle,org.eclipse.tm.terminal,3.1.1.R33x_v201107181530,"org.eclipse.tm.terminal",1322855959200
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1322855959200
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322855959200
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1322855959200
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1322855959200
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1322855959231
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1322855959231
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1322855959231
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1322855959231
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322855959231
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322855959231
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322855959246
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322855959246
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322855959324
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322855959324
started,bundle,org.eclipse.tm.terminal.view,2.2.0.v201103142315,"org.eclipse.tm.terminal.view",1322855959324
os,sysinfo,,,"win32",1322855959340
arch,sysinfo,,,"x86",1322855959340
ws,sysinfo,,,"win32",1322855959340
locale,sysinfo,,,"de_DE",1322855959340
processors,sysinfo,,,"2",1322855959340
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322855959340
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1322855959340
java.specification.name,sysinfo,,,"Java Platform API Specification",1322855959340
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322855959340
java.specification.version,sysinfo,,,"1.6",1322855959340
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1322855959340
java.version,sysinfo,,,"1.6.0_24",1322855959340
java.vm.info,sysinfo,,,"mixed mode, sharing",1322855959340
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1322855959340
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322855959340
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322855959340
java.vm.specification.version,sysinfo,,,"1.0",1322855959340
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1322855959340
java.vm.version,sysinfo,,,"19.1-b02",1322855959340
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322855960073
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1322855961306
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201111262136,"org.eclipse.cdt.cross.arm.gnu",1322855961352
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1322855961524
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1322855961711
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1322855962023
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322855962866
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1322855964129
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1322855964160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1322855967421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322855968279
error,log,,,"Errors occurred during the build.",1322855969870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322855977108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322855980369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322855983364
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1322855983926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856017122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322856020944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856026326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856028947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856031303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856043939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856045483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856047620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856051739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856054297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856060038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856081332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322856083048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856085809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856089460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856101628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856111892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322856113608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856116136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856159987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856162780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856165385
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1322856173341
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1322856173341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856177163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322856184386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856185977
failed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1322856186070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856188473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322856208503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322856224509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856240296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1322856240312
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856242059
