what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322831917032
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322831924286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322831926361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322832005001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832021084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322832021178
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1322832022348
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1322832022426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832023081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832026997
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322832027418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832034828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832047542
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322832047651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832050116
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1322832127320
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1322832127461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322832197146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832205008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322832205118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832210796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832233915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322832233993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832239765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832240062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832241793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832241824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832241856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832274350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322832278110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832278984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832282088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832284428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322832287330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322832287423
